date,airnow_no2
2023-07-01,6.1568246
2023-07-02,4.905107
2023-07-03,4.975377
2023-07-04,4.9470325
2023-07-05,6.3648734
2023-07-06,6.8743916
2023-07-07,5.717884
2023-07-08,4.7743692
2023-07-09,4.2350316
2023-07-10,5.331048
2023-07-11,6.66546
2023-07-12,6.748407
2023-07-13,6.492882
2023-07-14,7.1474514
2023-07-15,7.920108
2023-07-16,5.490357
2023-07-17,6.005647
2023-07-18,6.36952
2023-07-19,6.4587264
2023-07-20,7.197126
2023-07-21,7.1434083
2023-07-22,3.156111
2023-07-23,5.100537
2023-07-24,6.002915
2023-07-25,6.5789394
2023-07-26,6.532185
2023-07-27,6.562395
2023-07-28,6.4256115
2023-07-29,5.7862926
2023-07-30,4.5505276
2023-07-31,5.8183713
2023-08-01,6.080625
2023-08-02,7.0451326
2023-08-03,6.2468915
2023-08-04,6.5022316
2023-08-05,6.4273276
2023-08-06,5.592873
2023-08-07,6.178185
2023-08-08,5.713768
2023-08-09,5.731041
2023-08-10,5.150223
2023-08-11,4.9830194
2023-08-12,5.0285554
2023-08-13,4.78848
2023-08-14,6.3131986
2023-08-15,7.4532065
2023-08-16,7.183437
2023-08-17,7.9606423
2023-08-18,6.0141187
2023-08-19,5.8511634
2023-08-20,6.233338
2023-08-21,5.4848785
2023-08-22,5.7185283
2023-08-23,6.942021
2023-08-24,7.2593575
2023-08-25,7.627104
2023-08-26,7.483196
2023-08-27,4.0499997
2023-08-28,8.077743
2023-08-29,8.136914
2023-08-30,8.683256
2023-08-31,7.860685
2023-09-01,5.629351
2023-09-02,5.155469
2023-09-03,5.0864816
2023-09-04,3.8873186
2023-09-05,5.8208504
2023-09-06,6.9790874
2023-09-07,9.144941
2023-09-08,8.937943
2023-09-09,8.467876
2023-09-10,6.399742
2023-09-11,7.7897515
2023-09-12,7.51709
2023-09-13,6.310022
2023-09-14,4.6243095
2023-09-15,7.760584
2023-09-16,7.4650197
2023-09-17,5.080608
2023-09-18,5.8447976
2023-09-19,6.839723
2023-09-20,6.1787663
2023-09-21,6.200958
2023-09-22,7.7083163
2023-09-23,7.791903
2023-09-24,5.8308787
2023-09-25,7.44105
2023-09-26,8.256815
2023-09-27,8.700163
2023-09-28,7.962906
2023-09-29,7.4828887
2023-09-30,5.1663446
2023-10-01,3.9665854
2023-10-02,6.726673
2023-10-03,7.6136537
2023-10-04,9.769613
2023-10-05,9.284529
2023-10-06,10.321122
2023-10-07,10.019733
2023-10-08,8.920291
2023-10-09,8.852428
2023-10-10,7.174075
2023-10-11,5.9244123
2023-10-12,6.852654
2023-10-13,9.058977
2023-10-14,8.424335
2023-10-15,8.04131
2023-10-16,10.768502
2023-10-17,10.789735
2023-10-18,10.527919
2023-10-19,12.002482
2023-10-20,12.476882
2023-10-21,10.209867
2023-10-22,6.688006
2023-10-23,6.22373
2023-10-24,8.11107
2023-10-25,6.9464207
2023-10-26,6.9091315
2023-10-27,9.4815645
2023-10-28,8.998558
2023-10-29,6.742544
2023-10-30,10.285761
2023-10-31,13.465457
2023-11-01,15.312267
2023-11-02,15.370433
2023-11-03,14.703296
2023-11-04,12.568932
2023-11-05,8.256737
2023-11-06,10.648814
2023-11-07,7.626814
2023-11-08,7.998814
2023-11-09,9.675029
2023-11-10,12.209338
2023-11-11,11.981064
2023-11-12,10.94167
2023-11-13,12.129771
2023-11-14,12.777045
2023-11-15,14.717818
2023-11-16,10.117177
2023-11-17,10.584008
2023-11-18,9.664868
2023-11-19,6.453178
2023-11-20,6.6580176
2023-11-21,11.34176
2023-11-22,13.118946
2023-11-23,12.910831
2023-11-24,7.7612705
2023-11-25,8.122582
2023-11-26,10.28945
2023-11-27,11.01345
2023-11-28,14.200734
2023-11-29,14.591788
2023-11-30,12.025292
2023-12-01,9.542131
2023-12-02,9.092463
2023-12-03,8.919621
2023-12-04,12.251831
2023-12-05,13.453549
2023-12-06,14.439163
2023-12-07,9.876973
2023-12-08,9.863696
2023-12-09,9.638003
2023-12-10,9.610922
2023-12-11,14.033814
2023-12-12,14.79375
2023-12-13,13.104778
2023-12-14,13.96777
2023-12-15,14.958686
2023-12-16,14.295177
2023-12-17,14.253296
2023-12-18,15.190674
2023-12-19,12.980427
2023-12-20,11.364863
2023-12-21,10.6879425
2023-12-22,13.121112
2023-12-23,9.242436
2023-12-24,7.900657
2023-12-25,8.288845
2023-12-26,10.171597
2023-12-27,11.358906
2023-12-28,11.951332
2023-12-29,13.06329
2023-12-30,11.276431
2023-12-31,9.913482
2024-01-01,10.130195
2024-01-02,12.138631
2024-01-03,11.502247
2024-01-04,9.897256
2024-01-05,10.824662
2024-01-06,9.589969
2024-01-07,6.80263
2024-01-08,8.412604
2024-01-09,11.536967
2024-01-10,9.971034
2024-01-11,7.7306995
2024-01-12,9.725387
2024-01-13,10.64382
2024-01-14,9.252545
2024-01-15,11.71857
2024-01-16,14.12111
2024-01-17,16.490288
2024-01-18,12.487659
2024-01-19,14.110187
2024-01-20,13.981178
2024-01-21,9.470843
2024-01-22,9.416733
2024-01-23,10.616369
2024-01-24,10.497428
2024-01-25,9.709359
2024-01-26,9.572116
2024-01-27,9.920344
2024-01-28,9.792478
2024-01-29,11.667615
2024-01-30,13.207329
2024-01-31,12.676212
2024-02-01,8.76021
2024-02-02,8.149888
2024-02-03,7.3600516
2024-02-04,5.8302803
2024-02-05,6.9513946
2024-02-06,9.977485
2024-02-07,8.695131
2024-02-08,7.2848454
2024-02-09,8.870194
2024-02-10,8.557443
2024-02-11,7.580711
2024-02-12,10.818958
2024-02-13,11.990777
2024-02-14,10.359406
2024-02-15,7.951519
2024-02-16,9.706175
2024-02-17,9.7248125
2024-02-18,8.346665
2024-02-19,8.308125
2024-02-20,9.091651
2024-02-21,8.676025
2024-02-22,8.674208
2024-02-23,9.829574
2024-02-24,10.237714
2024-02-25,8.287284
2024-02-26,7.8623977
2024-02-27,6.2416024
2024-02-28,8.924592
2024-02-29,8.222626
2024-03-01,5.826589
2024-03-02,4.7279873
2024-03-03,4.0952663
2024-03-04,6.2170796
2024-03-05,8.396123
2024-03-06,8.827413
2024-03-07,7.7788124
2024-03-08,7.91896
2024-03-09,8.75954
2024-03-10,7.0045795
2024-03-11,7.257628
2024-03-12,7.233852
2024-03-13,6.640261
2024-03-14,6.611694
2024-03-15,6.403582
2024-03-16,7.565006
2024-03-17,6.535192
2024-03-18,8.703292
2024-03-19,9.653429
2024-03-20,8.822542
2024-03-21,7.9802365
2024-03-22,8.5325575
2024-03-23,5.952919
2024-03-24,4.419541
2024-03-25,5.9934444
