Site,Lat,Lon,RMSE (PPB),MAE (PPB),R²,N (valid obs)
Anaheim,33.830585,-117.93851,4.116,2.684,0.1581,1043
Reseda,34.1992,-118.5331,4.37,2.792,0.3322,1012
Lake Elsinore - W. Flint Street,33.676537,-117.331024,4.467,2.76,0.4512,1036
Santa Clarita,34.3833,-118.5283,4.645,3.252,0.3684,1032
La Habra,33.92506,-117.95258,4.732,3.291,0.1152,1049
Anaheim Near Road,33.819305,-117.91876,4.826,3.682,0.2658,1042
Long Beach Signal Hill,33.793713,-118.17102,4.982,3.401,0.2342,935
West Los Angeles - VA Hospital,34.051098,-118.45638,5.063,3.36,0.052,1049
Glendora - Laurel,34.1439,-117.8508,5.303,3.688,-0.034,1043
North Holywood,34.181976,-118.36304,5.515,3.654,0.1468,996
Pasadena,34.13263,-118.127144,5.518,3.84,0.0166,1031
Mira Loma - Van Buren,33.996387,-117.4925,5.543,3.426,0.3211,1055
Compton,33.9014,-118.205,5.899,4.077,0.0348,836
San Bernadino - 4th Street,34.106678,-117.27406,6.077,4.196,0.5488,1049
Pico Rivera,34.010284,-118.06848,6.61,4.842,0.216,1028
Riverside - Rubidoux,33.99945,-117.41583,7.19,4.412,0.3064,1045
Los Angeles - N. Main Street,34.06643,-118.22675,7.676,5.092,0.2668,997
Fontana - Arrow Highway,34.100132,-117.49198,8.331,5.572,0.4755,1004
710 Near Road,33.85966,-118.20071,9.0,6.934,0.1731,972
Ontario Near Road,34.068115,-117.525795,9.12,6.402,0.3063,1037
60 Near Road,34.0309,-117.6174,9.325,6.971,0.1348,1039
